 refmet_name,super_class,main_class,sub_class,formula,exactmass,inchi_key,smiles,pubchem_cid
"Acutumidine","Alkaloids","Alkaloids","Other alkaloids",C18H22ClNO6,383.113567,SBALNGLYQFMKPR-NQTWQHAWSA-N,"COC1=CC(=O)[C@]2([C@H](C[C@@]34C(=C(C(=O)C[C@@]23CCN4)OC)OC)Cl)[C@@H]1O",442840
"Adifoline","Alkaloids","Alkaloids","Other alkaloids",C22H20N2O7,424.127053,DJWXVEDJWPDUBQ-DEALGVFLSA-N,"C[C@@H]1[C@@H]2[C@H](Cc3c4c(cc(C(=O)O)n3)c3cc(ccc3n14)O)C(=CO[C@@H]2O)C(=O)OC",441972
"Adlumine","Alkaloids","Alkaloids","Other alkaloids",C21H21NO6,383.136889,SZDGAZFTAUFFQH-OALUTQOASA-N,"CN1CCc2cc(c(cc2[C@H]1[C@@H]1c2ccc3c(c2C(=O)O1)OCO3)OC)OC",442155
"Affinine","Alkaloids","Alkaloids","Other alkaloids",C20H24N2O2,324.183778,PXFBZOLANLWPMH-SMLHJDAJSA-N,"C/C=C\1/CN(C)[C@@H]2Cc3c4ccccc4[nH]c3C(=O)C[C@H]1C2CO",5281345
"Agroclavine","Alkaloids","Alkaloids","Other alkaloids",C16H18N2,238.146999,XJOOMMHNYOJWCZ-UKRRQHHQSA-N,"CC1=C[C@@H]2c3cccc4c3c(C[C@H]2N(C)C1)c[nH]4",73484
"Ajmaline","Alkaloids","Alkaloids","Other alkaloids",C20H26N2O2,326.199428,CJDRUOGAGYHKKD-HEFSZTOGSA-N,"CC[C@H]1[C@@H]2C[C@H]3[C@H]4[C@@]5(C[C@@H](C2[C@H]5O)N3[C@@H]1O)c1ccccc1N4C",441080
"Allocryptopine","Alkaloids","Alkaloids","Other alkaloids",C21H23NO5,369.157623,HYBRYAPKQCZIAE-UHFFFAOYSA-N,"CN1CCc2cc3c(cc2C(=O)Cc2ccc(c(c2C1)OC)OC)OCO3",98570
"alpha-Erythroidine","Alkaloids","Alkaloids","Other alkaloids",C16H19NO3,273.136494,IXPDLJKEPLTCOU-FFSVYQOJSA-N,"CO[C@H]1C=CC2=CCN3CC[C@@H]4COC(=O)C=C4[C@]23C1",441076
"alpha-Narcotine","Alkaloids","Alkaloids","Other alkaloids",C22H23NO7,413.147452,AKNNEGZIBPJZJG-MSOLQXFVSA-N,"CN1CCc2cc3c(c(c2[C@@H]1[C@@H]1c2ccc(c(c2C(=O)O1)OC)OC)OC)OCO3",275196
"Alpinine","Alkaloids","Alkaloids","Other alkaloids",C23H29NO6,415.199488,NGGOLDIRUNJLSH-LYLQVHRMSA-N,"CN1CCc2cc(c(cc2C2[C@H]1c1ccc(c(c1[C@@H](OC)O2)OC)OC)OC)OC",118701331
"Amabiline","Alkaloids","Alkaloids","Other alkaloids",C15H25NO4,283.178359,DRVWTOSBCBKXOR-WHOFXGATSA-N,"CC(C)[C@]([C@H](C)O)(C(=O)OCC1=CCN2CCC[C@@H]12)O",442706
"Amalorin","Alkaloids","Alkaloids","Other alkaloids",C14H8N2O2,236.058578,IZNXKZBIIFOWPU-UHFFFAOYSA-N,"c1cc2c(c3cc[nH]c4ccc(=O)n2c34)c(=O)c1",337601
"Anabasine","Alkaloids","Alkaloids","Other alkaloids",C10H14N2,162.115698,MTXSIJUGVMTTMU-UHFFFAOYSA-N,"C1CCNC(C1)c1cccnc1",2181
"Anatoxin A","Alkaloids","Alkaloids","Other alkaloids",C10H15NO,165.115364,SGNXVBOIDPPRJJ-UHFFFAOYSA-N,"CC(=O)C1=CCC[C@@H]2CC[C@H]1N2",431734
"Androcymbine","Alkaloids","Alkaloids","Other alkaloids",C21H25NO5,371.173274,ABMMKLCVJJTPJD-LHSJRXKWSA-N,"CN1CC[C@@]23C=C(C(=O)C=C2[C@@H]1CCc1cc(c(c(c31)OC)O)OC)OC",5462452
"Aphylline","Alkaloids","Alkaloids","Other alkaloids",C15H24N2O,248.188863,YQMWQSMYVPLYDI-ZHZAVPAVSA-N,"C1CCN2C[C@H]3C[C@H](C2C1)C(=O)N1CCCC[C@H]31",118701428
"Apovincamine","Alkaloids","Alkaloids","Other alkaloids",C21H24N2O2,336.183778,OZDNDGXASTWERN-CTNGQTDRSA-N,"CC[C@]12CCCN3CCc4c5ccccc5n(C(=C1)C(=O)OC)c4[C@H]23",71204
"Apparicine","Alkaloids","Alkaloids","Other alkaloids",C18H20N2,264.162649,LCVACABZTLIWCE-DXNYSGJVSA-N,"C/C=C\1/CN2CCC1C(=C)c1c(C2)c2ccccc2[nH]1",5822490
"Arecoline","Alkaloids","Alkaloids","Other alkaloids",C8H13NO2,155.094629,HJJPJSXJAXAIPN-UHFFFAOYSA-N,"CN1CCC=C(C1)C(=O)OC",2230
"Argyrolobine","Alkaloids","Alkaloids","Other alkaloids",C15H22N2O2,262.168128,JHXYFYGGFKMUPN-IENTYSSBSA-N,"C1CCN2C[C@H]3C[C@H](C2C1)C(=O)N1C3=CCCC1O",118701430
"Bonafousine","Alkaloids","Alkaloids","Other alkaloids",C35H40N4O3,564.310041,HLAQOSKRDJCTPZ-BCVSJKHFSA-N,"CC[C@H]1C[C@H]2C[C@]3(c4c(CCN(C2)[C@@H]13)c1ccc(c([C@H]2CC[C@@H]3c5c(CCN3)c3ccccc3n25)c1[nH]4)O)C(=O)OC",441994
"Bremazocine","Alkaloids","Alkaloids","Other alkaloids",C20H29NO2,315.219829,ZDXGFIXMPOUDFF-XLIONFOSSA-N,"CC[C@]12CCN(CC3(CC3)O)[C@H](Cc3ccc(cc13)O)C2(C)C",443406
"Bufotenin","Alkaloids","Alkaloids","Other alkaloids",C12H16N2O,204.126263,VTTONGPRPXSUTJ-UHFFFAOYSA-N,"CN(C)CCc1c[nH]c2ccc(cc12)O",10257
"Buxamine E","Alkaloids","Alkaloids","Other alkaloids",C26H44N2,384.350449,UVGUDMTZIJXYDY-LJXALOAQSA-N,"C[C@@H](C1CC[C@@]2(C)[C@@H]3CCC4C(=CC3=CC[C@]12C)CC[C@@H](C4(C)C)N(C)C)N",118701439
"Cadiamine","Alkaloids","Alkaloids","Other alkaloids",C15H26N2O3,282.194343,XFWSJSOEWSRENH-UHFFFAOYSA-N,"C1CC(C2CC(CO)C3CC(CCN3C2)O)NC(=O)C1",442944
"Canthin-6-one","Alkaloids","Alkaloids","Other alkaloids",C14H8N2O,220.063663,ZERVJPYNQLONEK-UHFFFAOYSA-N,"c1ccc2c(c1)c1ccnc3ccc(=O)n2c13",97176
"Cassine","Alkaloids","Alkaloids","Other alkaloids",C18H35NO2,297.266779,QPRMGHKASRLPJP-FGTMMUONSA-N,"CC(=O)CCCCCCCCCC[C@H]1CC[C@H]([C@@H](C)N1)O",193405
"Catharine","Alkaloids","Alkaloids","Other alkaloids",C46H54N4O10,822.383996,KLFYPJRLOIHTCM-CIJHUGPSSA-N,"CC/C/1=C/N(CCc2c3ccccc3[nH]c2[C@](CC(=O)C1)(c1cc2c(cc1OC)N(C)[C@@H]1[C@@]32CCN2CC=C[C@](CC)([C@@H]32)[C@H]([C@@]1(C(=O)OC)O)OC(=O)C)C(=O)OC)C=O",11953924
"Cephaeline","Alkaloids","Alkaloids","Other alkaloids",C28H38N2O4,466.283158,DTGZHCFJNDAHEN-OZEXIGSWSA-N,"CC[C@H]1CN2CCc3cc(c(cc3[C@@H]2C[C@@H]1C[C@@H]1c2cc(c(cc2CCN1)O)OC)OC)OC",442195
"Chanoclavine-I","Alkaloids","Alkaloids","Other alkaloids",C16H20N2O,256.157563,SAHHMCVYMGARBT-HEESEWQSSA-N,"C/C(=C\[C@@H]1c2cccc3c2c(C[C@H]1NC)c[nH]3)/CO",5281381
"Conessine","Alkaloids","Alkaloids","Other alkaloids",C24H40N2,356.319149,GPLGAQQQNWMVMM-MYAJQUOBSA-N,"C[C@H]1[C@H]2CC[C@H]3[C@@H]4CC=C5C[C@H](CC[C@]5(C)[C@H]4CC[C@]23CN1C)N(C)C",441082
"Coniine","Alkaloids","Alkaloids","Other alkaloids",C8H17N,127.136099,NDNUANOUGZGEPO-QMMMGPOBSA-N,"CCC[C@H]1CCCCN1",441072
"Cotinine N-oxide","Alkaloids","Alkaloids","Other alkaloids",C10H12N2O2,192.089878,CIPULDKLIIVIER-VIFPVBQESA-N,"CN1[C@@H](CCC1=O)c1ccc[n+](c1)[O-]",9815514
"Cuscohygrine","Alkaloids","Alkaloids","Other alkaloids",C13H24N2O,224.188863,ZEBIACKKLGVLFZ-TXEJJXNPSA-N,"CN1CCC[C@H]1CC(=O)C[C@H]1CCCN1C",1201543
"Deacetoxyvindoline","Alkaloids","Alkaloids","Other alkaloids",C23H30N2O4,398.220557,WNKDGPXNFMMOEJ-UCBRCEGISA-N,"CC[C@]12C=CCN3CC[C@]4(c5ccc(cc5N(C)[C@H]4[C@](C1)(C(=O)OC)O)OC)[C@H]23",5460099
"Deacetylvindoline","Alkaloids","Alkaloids","Other alkaloids",C23H30N2O5,414.215472,ZDKMPOJNYNVYLA-WXBCHJSSSA-N,"CC[C@@]12C=CCN3CC[C@@]4(c5ccc(cc5N(C)[C@H]4[C@]([C@@H]2O)(C(=O)OC)O)OC)C13",118701145
"Decarbamoylgonyautoxin III","Alkaloids","Alkaloids","Other alkaloids",C9H16N6O7S,352.080121,AJLCXXKDNUGKKH-UHFFFAOYSA-N,"C1C(C(C23C(C(CO)NC(=N)N13)NC(=N)N2)(O)O)OS(=O)(=O)O",53461858
"Deserpidine","Alkaloids","Alkaloids","Other alkaloids",C32H38N2O8,578.262818,CVBMAZKKCSYWQR-WCGOZPBSSA-N,"COc1cc(cc(c1OC)OC)C(=O)O[C@@H]1C[C@@H]2CN3CCc4c5ccccc5[nH]c4[C@H]3C[C@@H]2[C@@H]([C@H]1OC)C(=O)OC",8550
"Dihydro-alpha-ergocryptine","Alkaloids","Alkaloids","Other alkaloids",C32H43N5O5,577.326420,PBUNVLRHZGSROC-VTIMJTGVSA-N,"CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(N1C(=O)[C@](C(C)C)(NC(=O)[C@@H]1C[C@@H]3c4cccc5c4c(C[C@H]3N(C)C1)c[nH]5)O2)O",114948
"Elaeokanine C","Alkaloids","Alkaloids","Other alkaloids",C12H21NO2,211.157229,JWTAWEGUCCQPAM-USWWRNFRSA-N,"CCCC(=O)[C@@H]1[C@H]2CCCN2CC[C@@H]1O",442855
"Emetine","Alkaloids","Alkaloids","Other alkaloids",C29H40N2O4,480.298808,AUVVAXYIELKVAI-CKBKHPSWSA-N,"CC[C@H]1CN2CCc3cc(c(cc3[C@@H]2C[C@@H]1C[C@@H]1c2cc(c(cc2CCN1)OC)OC)OC)OC",10219
"Epibatidine","Alkaloids","Alkaloids","Other alkaloids",C11H13ClN2,208.076726,NLPRAJRHRHZCQQ-IVZWLZJFSA-N,"c1cc(Cl)ncc1[C@H]1C[C@@H]2CC[C@H]1N2",854023
"Ethylketocyclazocine","Alkaloids","Alkaloids","Other alkaloids",C19H25NO2,299.188529,SEJUQQOPVAUETF-SCTOPSOGSA-N,"CC[C@@]12CCN(CC3CC3)[C@@H](C1C)C(=O)c1ccc(cc21)O",443409
"Fumigaclavine A","Alkaloids","Alkaloids","Other alkaloids",C18H22N2O2,298.168128,GJSSYQDXZLZOLR-IMKJFWDFSA-N,"C[C@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(c34)[C@H]2[C@H]1OC(=O)C",70678802
"Geissoschizine","Alkaloids","Alkaloids","Other alkaloids",C21H24N2O3,352.178693,AUOFTPXWUVYOOQ-VJBMQPMPSA-N,"C/C=C\1/CN2CCc3c4ccccc4[nH]c3[C@@H]2C[C@@H]1C(C=O)C(=O)OC",5280491
"Gelsemicine","Alkaloids","Alkaloids","Other alkaloids",C20H26N2O4,358.189257,RIHQHYIWKHVLRH-GZQODYFHSA-N,"CC[C@@H]1[C@@H]2C[C@@H]3[C@]4(CC(C2CO3)N1)c1ccc(cc1N(C4=O)OC)OC",118701630
"Guvacine","Alkaloids","Alkaloids","Other alkaloids",C6H10ClNO2,163.040007,FGNUNVVTHHKDAM-UHFFFAOYSA-N,"C1C=C(CNC1)C(=O)O.Cl",11957555
"Homoormosanine","Alkaloids","Alkaloids","Other alkaloids",C21H35N3,329.283098,GFDFZTFQPIBNSQ-QPUJYEMXSA-N,"C1CCN2C[C@]34C[C@@H](C[C@@H]5CCCN(CN6CCCC[C@H]36)C45)[C@H]2C1",118701433
"Hygrine","Alkaloids","Alkaloids","Other alkaloids",C8H15NO,141.115364,ADKXZIOQKHHDNQ-QMMMGPOBSA-N,"CC(=O)C[C@@H]1CCCN1C",443144
"Jervine","Alkaloids","Alkaloids","Other alkaloids",C27H39NO3,425.292994,CLEXYFLHGFJONT-CSELMPSUSA-N,"C[C@H]1CC2[C@H]([C@@H](C)[C@@]3(CC[C@H]4C5CC=C6C[C@H](CC[C@]6(C)[C@H]5C(=O)C4=C3C)O)O2)NC1",118701031
"Metazocine","Alkaloids","Alkaloids","Other alkaloids",C15H21NO,231.162314,YGSVZRIZCHZUHB-COLVAYQJSA-N,"C[C@H]1[C@H]2Cc3ccc(cc3[C@]1(C)CCN2C)O",443404
"Methylisopelletierine","Alkaloids","Alkaloids","Other alkaloids",C9H17NO,155.131014,TYHJMEIBGDDCPA-UHFFFAOYSA-N,"CC(=O)CC1CCCCN1C",86786
"Neurine","Alkaloids","Alkaloids","Other alkaloids",C5H13NO,103.099714,NIPLIJLVGZCKMP-UHFFFAOYSA-M,"C=C[N+](C)(C)C.[OH-]",10042
"N-Methylnicotinium","Alkaloids","Alkaloids","Other alkaloids",C11H17N2,177.139173,HIOROZIUERMMRQ-NSHDSACASA-O,"C[n+]1cccc(c1)[C@@H]1CCC[NH+]1C",25203099
"Ormosanine","Alkaloids","Alkaloids","Other alkaloids",C20H35N3,317.283098,YUKCLPPRYNXRAF-VTYCOLDWSA-N,"C1CCN[C@H](C1)[C@@]12C[C@H](C[C@@H]3CCCN[C@@H]23)[C@H]2CCCCN2C1",904194
"Oxymatrine","Alkaloids","Alkaloids","Other alkaloids",C15H24N2O2,264.183778,XVPBINOPNYFXID-AQYCGZOBSA-N,"C1CC2[C@H]3CCC[N+]4(CCC[C@@H](CN2C(=O)C1)[C@@H]34)[O-]",86572672
"Panamine","Alkaloids","Alkaloids","Other alkaloids",C20H33N3,315.267448,MRLGBUWOAFGOBH-BLLIMUAZSA-N,"C1CCN2C[C@]34C[C@@H](C[C@@H]5CCCN(C6CCCC3N6)C45)[C@H]2C1",118701607
"Peimine","Alkaloids","Alkaloids","Other alkaloids",C27H45NO3,431.339944,IUKLSMSEHKDIIP-ZCASAQCQSA-N,"C[C@H]1CCC2[C@](C)(C3CCC4C(CC5[C@H]4C[C@@H](C4C[C@H](CC[C@]54C)O)O)[C@@H]3CN2C1)O",118701092
"Peiminine","Alkaloids","Alkaloids","Other alkaloids",C27H43NO3,429.324294,IQDIERHFZVCNRZ-GAJVHJNZSA-N,"C[C@H]1CCC2[C@](C)(C3CCC4C(CC5[C@H]4CC(=O)C4C[C@H](CC[C@]54C)O)[C@@H]3CN2C1)O",5320446
"Pilocarpine","Alkaloids","Alkaloids","Other alkaloids",C11H16N2O2,208.121178,QCHFTSOMWOSFHM-WPRPVWTQSA-N,"CC[C@H]1[C@@H](Cc2cncn2C)COC1=O",5910
"Prosopinine","Alkaloids","Alkaloids","Other alkaloids",C18H35NO3,313.261694,KYBOBXNXZQTAKA-NXHRZFHOSA-N,"CCC(=O)CCCCCCCCC[C@@H]1CC[C@@H]([C@@H](CO)N1)O",442654
"Protopine","Alkaloids","Alkaloids","Other alkaloids",C20H19NO5,353.126324,GPTFURBXHJWNHR-UHFFFAOYSA-N,"CN1CCc2cc3c(cc2C(=O)Cc2ccc4c(c2C1)OCO4)OCO3",4970
"Protoveratrine A","Alkaloids","Alkaloids","Other alkaloids",C41H63NO14,793.424856,HYTGGNIMZXFORS-AYHKOJMMSA-N,"CC[C@@H](C)C(=O)O[C@H]1[C@@H](C2[C@@H](CN3C[C@@H](C)CCC3[C@@]2(C)O)C2C[C@@]34[C@@H]([C@@H]([C@@H]([C@H]5[C@]3(C)CC[C@@H]([C@@]5(O)O4)OC(=O)[C@](C)(CC)O)OC(=O)C)OC(=O)C)[C@]12O)O",118701029
"Protoveratrine B","Alkaloids","Alkaloids","Other alkaloids",C41H63NO15,809.419774,BFLXOMFFVWQPAZ-SWYJTRLLSA-N,"CC[C@@H](C)C(=O)O[C@H]1[C@@H](C2[C@@H](CN3C[C@@H](C)CCC3[C@@]2(C)O)C2C[C@@]34[C@@H]([C@@H]([C@@H]([C@H]5[C@]3(C)CC[C@@H]([C@@]5(O)O4)OC(=O)[C@](C)([C@@H](C)O)O)OC(=O)C)OC(=O)C)[C@]12O)O",118701446
"Protoverine","Alkaloids","Alkaloids","Other alkaloids",C27H43NO9,525.293782,CKJAABZFXLMMCS-NNBGLRKLSA-N,"C[C@H]1CCC2[C@](C)(C3[C@@H](CN2C1)C1C[C@@]24[C@@H]([C@@H]([C@@H]([C@H]5[C@]2(C)CC[C@@H]([C@@]5(O)O4)O)O)O)[C@@]1([C@H]([C@@H]3O)O)O)O",118701447
"Rescinnamine","Alkaloids","Alkaloids","Other alkaloids",C35H42N2O9,634.289033,SZLZWPPUNLXJEA-QEGASFHISA-N,"COc1ccc2c3CCN4C[C@H]5C[C@H]([C@@H]([C@H]([C@H]5C[C@@H]4c3[nH]c2c1)C(=O)OC)OC)OC(=O)/C=C/c1cc(c(c(c1)OC)OC)OC",5280954
"Reserpine","Alkaloids","Alkaloids","Other alkaloids",C33H40N2O9,608.273381,QEVHRUUCFGRFIF-MDEJGZGSSA-N,"COc1ccc2c3CCN4C[C@H]5C[C@H]([C@@H]([C@H]([C@H]5C[C@@H]4c3[nH]c2c1)C(=O)OC)OC)OC(=O)c1cc(c(c(c1)OC)OC)OC",5770
"Samandarine","Alkaloids","Alkaloids","Other alkaloids",C19H31NO2,305.235479,HJCSQOSWSRPBOU-XTXNWKRWSA-N,"C[C@@]12CC[C@H]3[C@@H](CC[C@@H]4C[C@H]5NC[C@@H]([C@]34C)O5)[C@@H]2C[C@@H](C1)O",9548773
"Saxitoxin","Alkaloids","Alkaloids","Other alkaloids",C10H17N7O4,299.134203,RPQXVSUAYFXFJA-HGRQIUPRSA-N,"C1CN2C(=[NH2+])N[C@@H](COC(=O)N)[C@H]3[C@]2(C1(O)O)NC(=[NH2+])N3",56947150
"Seneciphylline","Alkaloids","Alkaloids","Other alkaloids",C18H23NO5,333.157623,FCEVNJIUIMLVML-GOQJIKJNSA-N,"C/C=C\1/CC(=C)[C@](C)(C(=O)OCC2=CCN3CCC(C23)OC1=O)O",118701603
"Solacapine","Alkaloids","Alkaloids","Other alkaloids",C27H48N2O2,432.371579,SSDNUGHQUZHHEE-IISROOSWSA-N,"C[C@@H]1C[C@@H](C([C@@H](C)[C@H]2[C@@H](C[C@H]3C4CC[C@H]5C[C@H](CC[C@]5(C)[C@H]4CC[C@]23C)N)O)NC1)O",118701448
"Solanocapsine","Alkaloids","Alkaloids","Other alkaloids",C27H46N2O2,430.355929,ZPTJKUUQUDRHTL-USVRBAEFSA-N,"C[C@@H]1C[C@]2(C([C@@H](C)C3[C@@H](CC4[C@@H]5CCC6C[C@H](CC[C@]6(C)C5CC[C@]34C)N)O2)NC1)O",118701057
"Sparteine","Alkaloids","Alkaloids","Other alkaloids",C15H26N2,234.209599,SLRCCWJSBJZJBV-ZQDZILKHSA-N,"C1CCN2C[C@@H]3C[C@@H](CN4CCCC[C@H]34)[C@@H]2C1",644020
"trans-3-Hydroxycotinine","Alkaloids","Alkaloids","Other alkaloids",C10H12N2O2,192.089878,XOKCJXZZNAUIQN-DTWKUNHWSA-N,"CN1[C@@H](C[C@H](C1=O)O)c1cccnc1",107963
"Tropinone","Alkaloids","Alkaloids","Other alkaloids",C8H13NO,139.099714,QQXLDOJGLXJCSE-KNVOCYPGSA-N,"CN1[C@H]2CC[C@@H]1CC(=O)C2",446337
"Uplandicine","Alkaloids","Alkaloids","Other alkaloids",C17H27NO7,357.178752,IHRIHUJNKKMIDN-MPFQSFCLSA-N,"C[C@@H]([C@](C(=O)OCC1=CCN2CC[C@H](C12)OC(=O)C)(C(C)(C)O)O)O",91747356
"Veratridine","Alkaloids","Alkaloids","Other alkaloids",C36H51NO11,673.346211,FVECELJHCSPHKY-YFUMOZOISA-N,"C[C@H]1CC[C@H]2[C@](C)([C@@]3([C@@H](CN2C1)[C@@]1(C[C@@]24[C@@H](CC[C@H]5[C@]2(C)CC[C@@H]([C@@]5(O)O4)OC(=O)c2ccc(c(c2)OC)OC)[C@@]1(C[C@@H]3O)O)O)O)O",6280
"Vinblastine","Alkaloids","Alkaloids","Other alkaloids",C46H58N4O9,810.420379,JXLYSJRDGCGARV-XQKSVPLYSA-N,"CC[C@@]1(C[C@@H]2C[C@](c3cc4c(cc3OC)N(C)[C@@H]3[C@@]54CCN4CC=C[C@](CC)([C@@H]54)[C@H]([C@@]3(C(=O)OC)O)OC(=O)C)(c3c(CCN(C2)C1)c1ccccc1[nH]3)C(=O)OC)O",241903
"Voacamine","Alkaloids","Alkaloids","Other alkaloids",C43H52N4O5,704.393771,VCMIRXRRQJNZJT-XRMSBCOFSA-N,"CC[C@H]1C[C@H]2C[C@]3(c4c(CCN(C2)[C@@H]13)c1cc(c(cc1[nH]4)[C@H]1C[C@H]2/C(=C\C)/CN(C)[C@H](Cc3c4ccccc4[nH]c13)C2C(=O)OC)OC)C(=O)OC",11953931
"Zygadenine","Alkaloids","Alkaloids","Other alkaloids",C27H43NO7,493.303953,NPNDUIMQBJIGQS-IDFKWMMPSA-N,"C[C@H]1CC[C@H]2[C@](C)([C@@H]3[C@@H](CN2C1)[C@@H]1C[C@@]24[C@@H](CC[C@H]5[C@]2(C)CC[C@@H]([C@@]5(O)O4)O)[C@@]1([C@H]([C@@H]3O)O)O)O",118701449
"2-Aminoacridone","Alkaloids","Anthranilic acid alkaloids","Acridone alkaloids",C13H10N2O,210.079313,PIGCSKVALLVWKU-UHFFFAOYSA-N,"c1ccc2c(c1)c(=O)c1cc(ccc1[nH]2)N",121965
"3-Hydroxykynurenic acid","Alkaloids","Anthranilic acid alkaloids","Acridone alkaloids",C10H7NO4,205.037509,KOPSWXCGBMDQDZ-UHFFFAOYSA-N,"c1ccc2c(c1)c(=O)c(c(C(=O)O)[nH]2)O",54704071
"4-Quinolinecarboxylic acid","Alkaloids","Anthranilic acid alkaloids","Acridone alkaloids",C10H7NO2,173.047679,VQMSRUREDGBWKT-UHFFFAOYSA-N,"c1ccc2c(c1)c(ccn2)C(=O)O",10243
"6-Hydroxykynurenic acid","Alkaloids","Anthranilic acid alkaloids","Acridone alkaloids",C10H7NO4,205.037508,CQUUHDQRJWXDPY-UHFFFAOYSA-N,"c1cc2c(cc1O)c(=O)cc(C(=O)O)[nH]2",440752
"Acronycine","Alkaloids","Anthranilic acid alkaloids","Acridone alkaloids",C20H19NO3,321.136494,SMPZPKRDRQOOHT-UHFFFAOYSA-N,"CC1(C)C=Cc2c(cc(c3c2n(C)c2ccccc2c3=O)OC)O1",345512
"Aminoacridone","Alkaloids","Anthranilic acid alkaloids","Acridone alkaloids",C13H10N2O,210.079313,,"",
"Arborinine","Alkaloids","Anthranilic acid alkaloids","Acridone alkaloids",C16H15NO4,285.100109,ATBZZQPALSPNMF-UHFFFAOYSA-N,"Cn1c2ccccc2c(=O)c2c1cc(c(c2O)OC)OC",5281832
"Atalanine","Alkaloids","Anthranilic acid alkaloids","Acridone alkaloids",C34H30N2O9,610.195133,PLAXYWZLYBHIDB-SZAHLOSFSA-N,"CC(C)[C@@H]1[C@H](c2c(cc(c3c2n(C)c2c(cccc2Oc2ccc4c(c2O)n(C)c2cc(cc(c2c4=O)O)OC)c3=O)O)O1)O",5281833
"Atalaphylline","Alkaloids","Anthranilic acid alkaloids","Acridone alkaloids",C23H25NO4,379.178359,GLXYKTASIIUSRC-UHFFFAOYSA-N,"CC(=CCc1c2c(c(=O)c3cccc(c3[nH]2)O)c(c(CC=C(C)C)c1O)O)C",442887
"Buntanine","Alkaloids","Anthranilic acid alkaloids","Acridone alkaloids",C20H21NO5,355.141974,XUUGIWDILRFFER-UHFFFAOYSA-N,"CC(=CCc1c(cc2c(c1O)c(=O)c1ccc(c(c1n2C)OC)O)O)C",5281838
"Ciprofloxacin","Alkaloids","Anthranilic acid alkaloids","Acridone alkaloids",C17H18FN3O3,331.133220,MYSWGUAQZAJSOK-UHFFFAOYSA-N,"C1CC1n1cc(c(=O)c2cc(c(cc12)N1CCNCC1)F)C(=O)O",2764
"Evoxanthidine","Alkaloids","Anthranilic acid alkaloids","Acridone alkaloids",C15H11NO4,269.068809,HHCAZEOWGVDROC-UHFFFAOYSA-N,"COc1c2c(cc3c1OCO3)[nH]c1ccccc1c2=O",442899
"Gatifloxacin","Alkaloids","Anthranilic acid alkaloids","Acridone alkaloids",C19H22FN3O4,375.159435,XUBOMFCQGDBHNK-SNVBAGLBSA-N,"COc1c(N2CCN[C@H](C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12",969463
"Grepafloxacin","Alkaloids","Anthranilic acid alkaloids","Acridone alkaloids",C19H22FN3O3,359.164520,AIJTTZAVMXIJGM-UHFFFAOYSA-N,"CC1CN(CCN1)c1cc2c(c(C)c1F)c(=O)c(cn2C1CC1)C(=O)O",72474
"Hydroxykynurenic acid","Alkaloids","Anthranilic acid alkaloids","Acridone alkaloids",C10H7NO4,205.037509,,"",
"Kynurenic acid","Alkaloids","Anthranilic acid alkaloids","Acridone alkaloids",C10H7NO3,189.042594,HCZHHEIFKROPDY-UHFFFAOYSA-N,"c1ccc2c(c1)c(cc(C(=O)O)n2)O",3845
"Lomefloxacin hydrochloride","Alkaloids","Anthranilic acid alkaloids","Acridone alkaloids",C17H20ClF2N3O3,387.116126,KXEBLAPZMOQCKO-UHFFFAOYSA-N,"CCn1cc(c(=O)c2cc(c(c(c12)F)N1CCNC(C)C1)F)C(=O)O.Cl",68624
"Melicopine","Alkaloids","Anthranilic acid alkaloids","Acridone alkaloids",C17H15NO5,313.095024,PEWWLIQAXYMMAN-UHFFFAOYSA-N,"Cn1c2ccccc2c(=O)c2c1c1c(c(c2OC)OC)OCO1",68433
"Moxifloxacin","Alkaloids","Anthranilic acid alkaloids","Acridone alkaloids",C21H24FN3O4,401.175085,FABPRXSRWADJSP-MEDUHNTESA-N,"COc1c2c(cc(c1N1C[C@@H]3CCCN[C@@H]3C1)F)c(=O)c(cn2C1CC1)C(=O)O",152946
"Norfloxacin","Alkaloids","Anthranilic acid alkaloids","Acridone alkaloids",C16H18FN3O3,319.133220,OGJPXUAPXNRGGI-UHFFFAOYSA-N,"CCn1cc(c(=O)c2cc(c(cc12)N1CCNCC1)F)C(=O)O",4539
"Ofloxacin","Alkaloids","Anthranilic acid alkaloids","Acridone alkaloids",C18H20FN3O4,361.143785,GSDSWSVVBLHKDQ-JTQLQIEISA-N,"C[C@H]1COc2c3c(cc(c2N2CCN(C)CC2)F)c(=O)c(cn13)C(=O)O",149096
"Quinaldic acid","Alkaloids","Anthranilic acid alkaloids","Acridone alkaloids",C10H7NO2,173.047679,LOAUVZALPPNFOQ-UHFFFAOYSA-N,"c1ccc2c(c1)ccc(C(=O)O)n2",7124
"Quinmerac","Alkaloids","Anthranilic acid alkaloids","Acridone alkaloids",C11H8ClNO2,221.024357,ALZOLUNSQWINIR-UHFFFAOYSA-N,"Cc1cc2ccc(c(c2nc1)C(=O)O)Cl",91749
"Quinolinecarboxylic acid","Alkaloids","Anthranilic acid alkaloids","Acridone alkaloids",C10H7NO2,173.047679,,"",
