feature_name,organism,gene_symbol,is_current
A2AAE1,mus musculus,Bltp1,1
A2AAJ9,mus musculus,Obscn,1
A2AAY5,mus musculus,Sh3pxd2b,1
A2ABV5,mus musculus,Med14,1
A2AC93,mus musculus,Dnai2,1
A2ACT4,mus musculus,Ntsr1,1
A2AD83,mus musculus,Frmd7,1
A2AF47,mus musculus,Dock11,1
A2AFQ2,mus musculus,Hsd17b10,1
A2AFS3,mus musculus,Elapor1,1
A2AG06,mus musculus,Meioc,1
A2AG50,mus musculus,Map7d2,1
A2AG58,mus musculus,Bclaf3,1
A2AGH6,mus musculus,Med12,1
A2AGL3,mus musculus,Ryr3,1
A2AGT5,mus musculus,Ckap5,1
A2AH22,mus musculus,Ambra1,1
A2AHC3,mus musculus,Camsap1,1
A2AHJ7,mus musculus,Dgkz,1
A2AHK0,mus musculus,Dgkz,1
A2AHL1,mus musculus,Ano3,1
A2AI05,mus musculus,Ndor1,1
A2AI08,mus musculus,Tprn,1
A2AI38,mus musculus,Acvr2a,1
A2AIP0,mus musculus,Cimip2b,1
A2AIR5,mus musculus,Grin3a,1
A2AIV2,mus musculus,Virma,1
A2AIV8,mus musculus,Card9,1
A2AIW0,mus musculus,Entr1,1
A2AJ15,mus musculus,Man1b1,1
A2AJ76,mus musculus,Hmcn2,1
A2AJ77,mus musculus,Prdm12,1
A2AJ88,mus musculus,Pnpla7,1
A2AJB7,mus musculus,Lcn5,1
A2AJI0,mus musculus,Map7d1,1
A2AJK6,mus musculus,Chd7,1
A2AJN7,mus musculus,Slc4a11,1
A2AJP1,mus musculus,Rxra,1
A2AJX4,mus musculus,Malrd1,1
A2AKK5,mus musculus,Acnat1,1
A2AKQ0,mus musculus,Slc35d1,1
A2AKX3,mus musculus,Setx,1
A2AL36,mus musculus,Cntrl,1
A2ALS5,mus musculus,Rap1gap,1
A2ALU4,mus musculus,Shroom2,1
A2ALV5,mus musculus,Shoc1,1
A2AM05,mus musculus,Cntln,1
A2AM29,mus musculus,Mllt3,1
A2AMM0,mus musculus,Cavin4,1
A2AMT1,mus musculus,Bfsp1,1
A2AN08,mus musculus,Ubr4,1
A2ANU3,mus musculus,Syndig1,1
A2AP18,mus musculus,Plch2,1
A2APB8,mus musculus,Tpx2,1
A2APC3,mus musculus,Ttll9,1
A2APF3,mus musculus,Ctcfl,1
A2APM2,mus musculus,Cd44,1
A2APV2,mus musculus,Fmnl2,1
A2APX8,mus musculus,Scn1a,1
A2AQ07,mus musculus,Tubb1,1
A2AQ19,mus musculus,Rtf1,1
A2AQ25,mus musculus,Skt,1
A2AQ92,mus musculus,Duox1,1
A2AR95,mus musculus,Ldlrad3,1
A2ARA8,mus musculus,Itga8,1
A2ARI4,mus musculus,Lgr4,1
A2ARP1,mus musculus,Ppip5k1,1
A2ARP9,mus musculus,Catsper2,1
A2ARV4,mus musculus,Lrp2,1
A2AS55,mus musculus,Ankrd16,1
A2AS89,mus musculus,Agmat,1
A2ASI5,mus musculus,Scn3a,1
A2ASQ1,mus musculus,Agrn,1
A2ASS6,mus musculus,Ttn,1
A2ASZ8,mus musculus,Slc25a25,1
A2AT37,mus musculus,Upf2,1
A2ATU0,mus musculus,Dhtkd1,1
A2AU37,mus musculus,Rad21l1,1
A2AU72,mus musculus,Armc3,1
A2AUC9,mus musculus,Klhl41,1
A2AUM9,mus musculus,Cep152,1
A2AUU0,mus musculus,Mettl8,1
A2AVA0,mus musculus,Svep1,1
A2AVZ9,mus musculus,Slc43a3,1
A2AWL7,mus musculus,Mga,1
A2AWP0,mus musculus,Birc7,1
A2AWR3,mus musculus,Gpr155,1
A2AX52,mus musculus,Col6a4,1
A2BDX3,mus musculus,Mocs3,1
A2BE28,mus musculus,Las1l,1
A2BH40,mus musculus,Arid1a,1
A2CF85,mus musculus,Alox12,1
A2CF88,mus musculus,Alox15,1
A2CG49,mus musculus,Kalrn,1
A2CG63,mus musculus,Arid4b,1
A2RSS9,mus musculus,Ghrl,1
A2RST1,mus musculus,Mgst2,1
A2RSY1,mus musculus,Kansl3,1
A2RSY6,mus musculus,Trmt1l,1
A2RT31,mus musculus,Or5v1,1
A2RT67,mus musculus,Dennd3,1
A2RTF1,mus musculus,Catsperb,1
A2VDH4,mus musculus,Kat5,1
A3FIN4,mus musculus,Atp8b5,1
A3KFM7,mus musculus,Chd6,1
A3KFX0,mus musculus,Nt5c1a,1
A3KG59,mus musculus,Pm20d2,1
A3KGF7,mus musculus,Plcb2,1
A3KGS3,mus musculus,Ralgapa2,1
A3KGV1,mus musculus,Odf2,1
A4Q9E5,mus musculus,Ttll3,1
A4Q9E8,mus musculus,Ttll6,1
A4Q9F0,mus musculus,Ttll7,1
A4Q9F1,mus musculus,Ttll8,1
A4Q9F3,mus musculus,Ttll10,1
A4Q9F4,mus musculus,Ttll11,1
