feature_name,organism,gene_symbol,is_current
Q9UBJ2,homo sapiens,ABCD2,1
P28288,homo sapiens,ABCD3,1
O14678,homo sapiens,ABCD4,1
P61221,homo sapiens,ABCE1,1
Q8NE71,homo sapiens,ABCF1,1
Q9UG63,homo sapiens,ABCF2,1
Q9NUQ8,homo sapiens,ABCF3,1
P45844,homo sapiens,ABCG1,1
Q9UNQ0,homo sapiens,ABCG2,1
Q9H172,homo sapiens,ABCG4,1
Q9H222,homo sapiens,ABCG5,1
Q9H221,homo sapiens,ABCG8,1
Q8N2K0,homo sapiens,ABD12,1
Q0P651,homo sapiens,ABD18,1
P41238,homo sapiens,ABEC1,1
Q9Y235,homo sapiens,ABEC2,1
Q8WW27,homo sapiens,ABEC4,1
Q6UXT9,homo sapiens,ABH15,1
Q96SE0,homo sapiens,ABHD1,1
P08910,homo sapiens,ABHD2,1
Q8WU67,homo sapiens,ABHD3,1
Q8TB40,homo sapiens,ABHD4,1
Q8WTS1,homo sapiens,ABHD5,1
Q9BV23,homo sapiens,ABHD6,1
Q96I13,homo sapiens,ABHD8,1
Q9NUJ1,homo sapiens,ABHDA,1
Q8NFV4,homo sapiens,ABHDB,1
Q7L211,homo sapiens,ABHDD,1
Q9BUJ0,homo sapiens,ABHEA,1
Q96IU4,homo sapiens,ABHEB,1
O95870,homo sapiens,ABHGA,1
Q9H3Z7,homo sapiens,ABHGB,1
Q8IZP0,homo sapiens,ABI1,1
Q9NYB9,homo sapiens,ABI2,1
Q9P2A4,homo sapiens,ABI3,1
Q9NX38,homo sapiens,ABITM,1
P00519,homo sapiens,ABL1,1
P42684,homo sapiens,ABL2,1
O14639,homo sapiens,ABLM1,1
Q6H8Q1,homo sapiens,ABLM2,1
O94929,homo sapiens,ABLM3,1
Q9P1F3,homo sapiens,ABRAL,1
Q8N0Z2,homo sapiens,ABRA,1
Q6UWZ7,homo sapiens,ABRX1,1
Q15018,homo sapiens,ABRX2,1
Q12979,homo sapiens,ABR,1
Q9ULW3,homo sapiens,ABT1,1
Q969K4,homo sapiens,ABTB1,1
